published,id,title,category,status,price,price_display,year,make,model,length_ft,hours,engine,hull,color,location,description,primary_image_url,gallery_urls,contact_phone,contact_email,created_at,condition,trailer_included,propulsion,beam_ft,draft_ft,fuel_capacity,seating_capacity,features,history,maintenance_notes
Y,oib-111078,2021 MASTERCRAFT X STAR,Boat,available,119999,"$119,999",2021,Mastercraft,X-Star,23,396.4,ILMOR 6.2 GDI,,,"CORNELIUS , North Carolina, 28031","2021 MASTERCRAFT X STAR TAKING ALL OFFERS $119,999 OBO 2021 MasterCraft XStar has been well-maintained and is in great condition! Option List: Ilmor 6.2L GDI Full Coolfeel Interior Deckadence Flooring Comfort and Convenience Package BTS Windshield Heater Underwater Lighting Transom Stereo Remote Convertible Flip Seat Rear facing seats Bow Filler Cushion 2 Axle Trailer w/ Brakes, The boat that changed the industry, the XStar redefines what’s possible on the water. Meet the chiseled machine that’s 23 feet of cutting-edge technology and luxury. But don’t let the reputation fool you: The XStar isn’t just for wakeboarding and pros. Our GEN2 Surf System delivers an incredible range of wake and surf adjustability, making the XStar the best of the best for veterans, new riders or anyone ready to take their skills to the next level",https://onlyinboards.com/getmedia/c8a87a99-611f-4f81-8e40-30bb088f6f81/2021-mastercraft-x-star-111078-image0.webp,"https://onlyinboards.com/getmedia/c8a87a99-611f-4f81-8e40-30bb088f6f81/2021-mastercraft-x-star-111078-image0.webp,https://onlyinboards.com/getmedia/e2338228-0c79-43f7-8a42-d72d99d78cf3/2021-mastercraft-x-star-111078-image1.webp,https://onlyinboards.com/getmedia/9fb1fd75-da8a-444d-98c5-c085bda3beeb/2021-mastercraft-x-star-111078-image2.webp,https://onlyinboards.com/getmedia/27bfed79-d123-4f24-adf2-357faa0ca0b5/2021-mastercraft-x-star-111078-image3.webp,https://onlyinboards.com/getmedia/e61a377c-cef9-4492-ae76-24f0863e8b14/2021-mastercraft-x-star-111078-image4.webp,https://onlyinboards.com/getmedia/d43eab00-06cf-481f-bfbb-82dfcf6f2f35/2021-mastercraft-x-star-111078-image5.webp,https://onlyinboards.com/getmedia/26d4bd4f-5cfc-41fc-8c83-9c0b8e1e45af/2021-mastercraft-x-star-111078-image6.webp,https://onlyinboards.com/getmedia/fcade76b-9a41-4fcc-8d45-49d1c4146c76/2021-mastercraft-x-star-111078-image7.webp,https://onlyinboards.com/getmedia/96e6415c-3955-4332-97f1-3534808ab838/2021-mastercraft-x-star-111078-image8.webp,https://onlyinboards.com/getmedia/05909fad-f1bd-43d8-b4bd-aecfdbf3b17e/2021-mastercraft-x-star-111078-image9.webp",704.957.0900,info@boatdudedeals.com,2026-04-06T01:32:23.924961+00:00,,,V-drive,,,,,,,
Y,oib-111094,Supra SE 450 2025,Boat,available,,Call for price,2025,Supra,SE,24,0,INDMAR 6.2 RAPTOR 450,,,"CORNELIUS , North Carolina, 28031",,,,704.957.0900,info@boatdudedeals.com,2026-04-06T01:32:24.616544+00:00,,,V-drive,,,,,,,
Y,oib-111096,New Supra SE 450 2025 – Spearmint / Pure White,Boat,available,215999,"$215,999",2025,Supra,SE,24,0,INDMAR 6.2 RAPTOR 450,,,"CORNELIUS , North Carolina, 28031","2025 Supra SE 450 CALL FOR PRICE WE ARE HAVING A BLOW-OUT SALE ON ALL SUPRA AND MOOMBA'S IN STOCK, TAKING ALL OFFERS CALL ROBERT 704-957-0900 Experience the Ultimate Wake Machine: The 2025 Supra SE Get ready to dominate the water with the 2025 Supra SE, the pinnacle of luxury and performance in wakeboarding and wakesurfing. Engineered for thrill-seekers and watersports enthusiasts, the SE delivers world-class waves, cutting edge technology, and premium comfort - all in one stunning package Key Features of the Supra SE Ready to Ride? The 2025 Supra SE isn’t just a boat – it’s a. statement. Power, precision, and luxury. Combine to. Create the ultimate wake experience. Come see it in person and take your on-water adventures to the next level. Contact us today to schedule your test ride!",https://onlyinboards.com/getmedia/c131f74e-a57f-4fbe-a8b5-817045f1d213/2025-supra-se-111096-image0.webp,"https://onlyinboards.com/getmedia/c131f74e-a57f-4fbe-a8b5-817045f1d213/2025-supra-se-111096-image0.webp,https://onlyinboards.com/getmedia/70d52f13-98ad-47e1-8286-a095976dc440/2025-supra-se-111096-image1.webp,https://onlyinboards.com/getmedia/82714e28-fd7d-4c54-af11-717af2f916bd/2025-supra-se-111096-image2.webp,https://onlyinboards.com/getmedia/0f687416-1713-451d-ade3-eb917f1b8c33/2025-supra-se-111096-image3.webp,https://onlyinboards.com/getmedia/1a279b61-9a51-4902-a233-4ca5608c68a8/2025-supra-se-111096-image4.webp,https://onlyinboards.com/getmedia/60ed8a23-eaed-4470-aa2d-1e1398080e6d/2025-supra-se-111096-image5.webp,https://onlyinboards.com/getmedia/827f0f0e-605c-46c3-a678-421c8502d8a4/2025-supra-se-111096-image6.webp,https://onlyinboards.com/getmedia/0cc3bed9-8cbe-480b-95d8-c0088c8ee375/2025-supra-se-111096-image7.webp,https://onlyinboards.com/getmedia/2b59c547-89be-4fbb-a415-9f0c70cbc38f/2025-supra-se-111096-image8.webp,https://onlyinboards.com/getmedia/f22a4033-cc8a-4598-89aa-c1fc4d41892f/2025-supra-se-111096-image9.webp",704.957.0900,info@boatdudedeals.com,2026-04-06T01:32:25.195849+00:00,,,V-drive,,,,,,,
Y,oib-111102,2017 Heyday WT-2,Boat,available,36999,"$36,999",2017,Heyday,WT-2,22,400,MERCRUISER 5.7,,,"CORNELIUS , North Carolina, 28031","This 2017 Heyday WT-2 is all about big waves, bold design, and nonstop fun! Engineered for wakeboarding and wakesurfing, its innovative hull design throws a massive, clean wav This 2017 Heyday WT-2 is all about big waves, bold design, and nonstop fun! Engineered for wakeboarding and wakesurfing, its innovative hull design throws a massive, clean wave without extra ballast, giving you a pro-level performance straight from the factory! Under the hood, a powerful Mercruiser 6.2L V8 delivers strong, reliable performance, whether you're carving waves or cruising on the lake. With seating for up to 14 of your closest friends and family, a rear-facing lounge layout, and a premium sound system, this boat is built for good vibes and unforgettable days on the water! T Under the hood, a powerful Mercruiser 6.2L V8 delivers strong, reliable performance, whether you're carving waves or cruising on the lake. With seating for up to 14 of your closest friends and family, a rear-facing lounge layout, and a premium sound system, this boat is built for good vibes and unforgettable days on the water! This 2017 Heyday WT-2 is in great condition and is a perfect choice to get you and your family out on the water in style at an affordable price!",https://onlyinboards.com/getmedia/9da3f808-7111-40a1-865a-4cdd25a773cb/2017-heyday-wt-2-111102-image0.webp,"https://onlyinboards.com/getmedia/9da3f808-7111-40a1-865a-4cdd25a773cb/2017-heyday-wt-2-111102-image0.webp,https://onlyinboards.com/getmedia/297249be-cb89-460c-acb5-2a421d9c8fb6/2017-heyday-wt-2-111102-image1.webp,https://onlyinboards.com/getmedia/aee7283e-2cf1-48c2-8f6d-ae79a60eeaae/2017-heyday-wt-2-111102-image2.webp,https://onlyinboards.com/getmedia/d2c457fc-aa0c-40e2-aa49-e1b9988e2d62/2017-heyday-wt-2-111102-image3.webp,https://onlyinboards.com/getmedia/8c46a198-f544-4fd1-94fe-7577d0ea9036/2017-heyday-wt-2-111102-image4.webp",704.957.0900,info@boatdudedeals.com,2026-04-06T01:32:25.818880+00:00,,,V-drive,,,,,,,
Y,oib-111107,New Supra SA550 2024 DEMO,Boat,available,159999,"$159,999",2024,Supra,SA,22,140,INDMAR Raptor 575 6.2L,,,"CORNELIUS , North Carolina, 28031","2024 Supra SA550 - Rider Demo in Excellent Condition *Call for our special pricing* Includes full 5 year factory warranty! Take your watersports experience to the next level with this 2024 Supra SA550, a rider demo unit with just over 150 hours, meticulously maintained. The Supra SA550 is the epitome of innovation and performance, designed for those who demand the best in wakeboarding, wakesurfing, and waterskiing. Whether you're a seasoned pro or an enthusiastic beginner, this boat has everything you need for an exceptional day on the water. At the heart of the Supra SA550 is the powerful and reliable 6.2L Raptor V8 engine, delivering 510 horsepower and an impressive 580 lb-ft of torque. This robust powerplant offers effortless towing and high-end torque, ensuring smooth, controlled acceleration no matter how many passengers or how much gear you’re carrying. Perfect for pulling riders of all levels, the engine ensures that every pull is consistent and powerful, creating clean, crisp wakes that pros and beginners alike will appreciate. Step inside the SA550, and you’ll find an interior that matches its high-performance exterior. The spacious layout comfortably seats up to 16 passengers, with plush, premium upholstery designed for long-lasting comfort. The cockpit is equipped with Supra’s Vision Control System, a touchscreen interface that gives you command of every feature with ease—from audio and lighting to ballast and surf settings. This rider demo has been expertly cared for and remains in excellent condition, offering an incredible opportunity to own a lightly-used, fully-loaded 2024 Supra SA550 at a significant savings. With just over 150 hours on the engine, this boat still has plenty of life and is ready to deliver thrilling, high-performance adventures for years to come. Don’t miss out on this opportunity to get behind the wheel of one of the most advanced wake boats on the market. Contact us today to schedule a viewing and make the 2024 Supra SA550 yours! financing and delivery available!! Lake Norman, Lake Wylie, Badin, High Rock, Keowee, Hartwell, James, Mtn Island, discount, Indmar, Tillery, Surf, Watersports, wakeboard, georgia, tennessee, south carolina SEE MORE BOAT https://onlyinboards.com/dealeruserprofile/the-boat-dude-80113",https://onlyinboards.com/getmedia/73276562-fe2f-4f23-82d9-2875fc7f4c9b/2024-supra-sa-111107-image0.webp,"https://onlyinboards.com/getmedia/73276562-fe2f-4f23-82d9-2875fc7f4c9b/2024-supra-sa-111107-image0.webp,https://onlyinboards.com/getmedia/9dfc63cc-c27c-4e50-b4dc-e9d10bbc1100/2024-supra-sa-111107-image1.webp,https://onlyinboards.com/getmedia/2cec9b7b-3458-4afc-9fe1-8ae0876d5a27/2024-supra-sa-111107-image2.webp,https://onlyinboards.com/getmedia/89fb9a97-ff55-4474-8509-c2a327bd7145/2024-supra-sa-111107-image3.webp,https://onlyinboards.com/getmedia/1340fd42-57a2-4e33-99e2-794b9a2066b3/2024-supra-sa-111107-image4.webp,https://onlyinboards.com/getmedia/270ab181-fb21-4bf7-961c-66c014118657/2024-supra-sa-111107-image5.webp,https://onlyinboards.com/getmedia/e70daf99-b7a6-4eb0-901a-f52531ab44af/2024-supra-sa-111107-image6.webp,https://onlyinboards.com/getmedia/0ee80773-c649-47c4-8c56-60c5dea7039a/2024-supra-sa-111107-image7.webp,https://onlyinboards.com/getmedia/3aef3bd5-fc50-4382-a1d7-7f7a4b2c1644/2024-supra-sa-111107-image8.webp,https://onlyinboards.com/getmedia/7e8c2a7c-b144-4f0e-9390-db19f6949c81/2024-supra-sa-111107-image9.webp",704.957.0900,info@boatdudedeals.com,2026-04-06T01:32:26.407958+00:00,,,V-drive,,,,,,,
Y,oib-111113,DEMO Supra SA 400 2025 – Slate Blue / Light Graphite,Boat,available,198995,"$198,995",2025,Supra,SA,23,70,INDMAR 6.2 RAPTOR 400,,,"CORNELIUS , North Carolina, 28031","2025 Supra SA 400 Discover the All New 2025 Supra SA Discover the ultimate blend of luxury and performance with the 2025 Supra SA 400, a vessel crafted for those who appreciate the finer things in life. This boat is ready to redefine your water experiences. Key Features of the Moomba Max Striking Exterior: The Supra SA 400 showcases a Pure White and Slate Blue finish, offering a sleek and modern aesthetic that commands attention on the water. Luxurious Interior: Inside, Chilltech Interior provides a perfect combination of elegance and comfort. The spacious seating and premium materials ensure every outing is a memorable one. Loaded with Options: This boat is packed with a wide array of features to enhance your enjoyment. From advanced navigation systems to high-quality audio, every detail is designed with your pleasure in mind. Unmatched Performance: With its powerful engine and cutting-edge design, the Supra SA 450 offers exceptional speed and handling. Whether you're cruising, wakeboarding, or simply enjoying a day on the water, this boat delivers an exhilarating experience. Engineered for Adventure Perfect for water sports enthusiasts, family outings, and luxury cruising. Family Friendly Fun Ready to Surf in Style ? If you're ready to elevate your watersports game, don’t wait! Contact us today to schedule a viewing or get more information about this incredible boat. The 2025 Supra SA is waiting for you! Call now and secure your dream boat before it's gone!",https://onlyinboards.com/getmedia/d6d3a3dd-b748-40d4-8ebf-c0b1a3ca3cca/2025-supra-sa-111113-image0.webp,"https://onlyinboards.com/getmedia/d6d3a3dd-b748-40d4-8ebf-c0b1a3ca3cca/2025-supra-sa-111113-image0.webp,https://onlyinboards.com/getmedia/982a4c97-964f-4f4a-a8b8-6fbf579ca733/2025-supra-sa-111113-image1.webp,https://onlyinboards.com/getmedia/a3c02bd4-6443-421d-a359-5e47cc2d437c/2025-supra-sa-111113-image2.webp,https://onlyinboards.com/getmedia/4241224c-260c-4c6d-9e30-ef9defe13bcd/2025-supra-sa-111113-image3.webp,https://onlyinboards.com/getmedia/3e3f29ac-47c5-4e12-9488-4ab80217c261/2025-supra-sa-111113-image4.webp,https://onlyinboards.com/getmedia/f68cf91f-2155-45e7-bf45-ea49d2908d11/2025-supra-sa-111113-image5.webp,https://onlyinboards.com/getmedia/a48ac3ef-3144-4cad-bb4e-0cfd869276c3/2025-supra-sa-111113-image6.webp,https://onlyinboards.com/getmedia/1c1fbfe9-befe-474e-99ce-cdef79026e84/2025-supra-sa-111113-image7.webp,https://onlyinboards.com/getmedia/691805c2-ef8e-468e-b960-df8dd1597d0d/2025-supra-sa-111113-image8.webp,https://onlyinboards.com/getmedia/2371bc4e-ca05-450b-a931-b1532f68e277/2025-supra-sa-111113-image9.webp",704.957.0900,info@boatdudedeals.com,2026-04-06T01:32:27.414660+00:00,,,V-drive,,,,,,,
Y,oib-111114,New Supra SL450 2025 – Light Graphite / Black,Boat,available,199999,"$199,999",2025,Supra,SL,24,0,INDMAR 6.2 RAPTOR 450,,,"CORNELIUS , North Carolina, 28031","2025 Supra SL450: Redefining Elegance and Power on the Waters $226,995 TAKING ALL OFFERS Embark on a Journey of Unmatched Performance and Sophistication The 2025 Supra SL450 emerges as a beacon of luxury and high performance in the boating world. This 23-foot vessel is a masterpiece, meticulously crafted for those who refuse to settle for anything less than extraordinary. Merging top-tier technology with unparalleled design, the Supra SL450 is in a league of its own. Key Features of the Supra SL450 Sleek and Sophisticated Design: The Supra SL450 is a marvel of modern engineering, boasting an aerodynamic and visually stunning profile. Its refined aesthetics ensure it stands out as a symbol of prestige on any waterway. Exceptional Performance: Powered by a robust 410-horsepower engine, the SL450 is built for exhilarating speed and responsive handling. The advanced hull design provides stability and smoothness, offering a seamless experience even in varied water conditions. State-of-the-Art Wake Technology: With cutting-edge wake and surf systems, the SL450 caters to all levels of watersports enthusiasts. Customizable wave settings allow for a tailored wakeboarding or surfing experience, ensuring every adventure is unique. Opulent Interior: Step into luxury with the SL450's plush interior, where comfort meets elegance. High-quality materials and spacious seating create an inviting environment for relaxation and entertainment. Advanced Control System: The helm is equipped with a sophisticated touchscreen interface, offering intuitive control over the boat’s navigation, systems, and entertainment features. It's a perfect blend of technology and convenience. Versatile and Spacious: The SL450 is not just a powerhouse; it's also a social hub, comfortably accommodating up to 17 passengers. It's versatile enough for tranquil cruises and lively watersport activities. Why Choose the 2025 Supra SL450? The Supra SL450 is more than a boat; it's an experience. It appeals to those who desire the finest in maritime luxury, technology, and performance. Whether you're an avid watersports enthusiast or seeking a vessel for leisure and elegance, the SL450 is your definitive choice. Ready to Make Waves? Experience the thrill of the 2025 Supra SL450. Whether you're an avid wakeboarder or just love being on the water, the Supra SL450 is your ticket to adventure. Send us a message, give us a call, or visit us in store at our Cornelius, North Carolina location to see this boat in action!",https://onlyinboards.com/getmedia/21c82c89-5948-4e58-bbb0-6433074fda3f/2025-supra-sl-111114-image0.webp,"https://onlyinboards.com/getmedia/21c82c89-5948-4e58-bbb0-6433074fda3f/2025-supra-sl-111114-image0.webp,https://onlyinboards.com/getmedia/f336ee68-e244-4704-ab31-815e90a69b49/2025-supra-sl-111114-image1.webp,https://onlyinboards.com/getmedia/2688f21b-1feb-4892-8e71-036aab5ae4f8/2025-supra-sl-111114-image2.webp,https://onlyinboards.com/getmedia/a8f486d5-842f-4ddb-9d0c-c36a83c6233b/2025-supra-sl-111114-image3.webp,https://onlyinboards.com/getmedia/3963ebbf-2808-4947-8df8-3d9607ef6d8b/2025-supra-sl-111114-image4.webp,https://onlyinboards.com/getmedia/5e46cd69-2d1d-45dc-a2f8-ae26108aff65/2025-supra-sl-111114-image5.webp,https://onlyinboards.com/getmedia/0e2e5945-e7ca-4438-8a9a-a690e58c92c9/2025-supra-sl-111114-image6.webp,https://onlyinboards.com/getmedia/f01c6bbe-7986-4e1f-8e34-785ee5b970e9/2025-supra-sl-111114-image7.webp,https://onlyinboards.com/getmedia/fc3754e4-25e5-448b-8274-15ea118881af/2025-supra-sl-111114-image8.webp,https://onlyinboards.com/getmedia/443d7d7f-ddba-4ba9-ad92-b136df54093d/2025-supra-sl-111114-image9.webp",704.957.0900,info@boatdudedeals.com,2026-04-06T01:32:28.144681+00:00,,,V-drive,,,,,,,
Y,oib-112720,2020 MOOMBA MAX,Boat,available,74999,"$74,999",2020,Moomba,MAX,22,265,INDMAR 6.2 RAPTOR 400,,,"CORNELIUS , North Carolina, 28031","LIKE NEW CLEAN BOAT 2020 MOOMBA MAX WITH 265 HRS NO TRAILER BUT WE HAVE TRAILERS IN STOCK The 2020 Moomba Max was first introduced into the Moomba Boats lineup in 2018. Designed with performance and affordability in mind, the 2020 Max provides exceptional wake and surf performance at a price point that won't break the bank. Coming in at just under 23' in length with 3,200 lbs of standard ballast, this boat is more than capable of serving up massive wakeboard wakes. When you combine that with Moomba's Flow 2.0 Surf System, you receive exceptional surf waves that are highly customizable. Looking past all of the performance there is more about this boat than just what meets the eye. The 2020 Moomba Max features larges amounts of storage all throughout the boat. This means you can pack it in for a fun day on the water without having to leave gear behind.",https://onlyinboards.com/getmedia/a6aeab47-6531-4cf0-8f45-c89f854bb6ed/2020-moomba-max-112720-image0.webp,"https://onlyinboards.com/getmedia/a6aeab47-6531-4cf0-8f45-c89f854bb6ed/2020-moomba-max-112720-image0.webp,https://onlyinboards.com/getmedia/0242258a-d047-489d-b50a-8cf055fe0aa0/2020-moomba-max-112720-image1.webp,https://onlyinboards.com/getmedia/ff113b48-a73a-4cf7-b14b-f3ec384d7eac/2020-moomba-max-112720-image2.webp,https://onlyinboards.com/getmedia/15414c29-84d9-4a32-921f-947ff3a09890/2020-moomba-max-112720-image3.webp,https://onlyinboards.com/getmedia/bb6a8fef-a576-4c97-a121-d50d90815e81/2020-moomba-max-112720-image4.webp,https://onlyinboards.com/getmedia/332b1930-a211-4784-b51b-caca3c1aaf7c/2020-moomba-max-112720-image5.webp,https://onlyinboards.com/getmedia/fddcbdef-2d1b-472b-81a1-343bf2420ad6/2020-moomba-max-112720-image6.webp,https://onlyinboards.com/getmedia/d1ce5546-e1ef-4afd-a520-8f47872ea173/2020-moomba-max-112720-image7.webp,https://onlyinboards.com/getmedia/4a5a22e0-58a2-4f75-a3ea-021949e52421/2020-moomba-max-112720-image8.webp,https://onlyinboards.com/getmedia/99cb42b3-6a31-431d-a242-f90c64e0ac11/2020-moomba-max-112720-image9.webp",704.957.0900,info@boatdudedeals.com,2026-04-06T01:32:28.801786+00:00,,,V-drive,,,,,,,
Y,oib-113806,2025 SUPRA SL 450,Boat,available,219995,"$219,995",2025,Supra,SL,24,0,INDMAR 6.2 RAPTOR 450,,,"Mooresville, North Carolina, 28115","2025 Supra SL450: Redefining Elegance and Power on the Waters TAKING ALL OFFER NEED ALL 2025 GONE NEED THE ROOM 2026 COMING IN EVERY DAY BEST TIME TO BUY Embark on a Journey of Unmatched Performance and Sophistication The 2025 Supra SL450 emerges as a beacon of luxury and high performance in the boating world. This 23-foot vessel is a masterpiece, meticulously crafted for those who refuse to settle for anything less than extraordinary. Merging top-tier technology with unparalleled design, the Supra SL450 is in a league of its own. Key Features of the Supra SL450 Sleek and Sophisticated Design: The Supra SL450 is a marvel of modern engineering, boasting an aerodynamic and visually stunning profile. Its refined aesthetics ensure it stands out as a symbol of prestige on any waterway. Exceptional Performance: Powered by a robust 410-horsepower engine, the SL450 is built for exhilarating speed and responsive handling. The advanced hull design provides stability and smoothness, offering a seamless experience even in varied water conditions. State-of-the-Art Wake Technology: With cutting-edge wake and surf systems, the SL450 caters to all levels of watersports enthusiasts. Customizable wave settings allow for a tailored wakeboarding or surfing experience, ensuring every adventure is unique. Opulent Interior: Step into luxury with the SL450's plush interior, where comfort meets elegance. High-quality materials and spacious seating create an inviting environment for relaxation and entertainment. Advanced Control System: The helm is equipped with a sophisticated touchscreen interface, offering intuitive control over the boat’s navigation, systems, and entertainment features. It's a perfect blend of technology and convenience. Versatile and Spacious: The SL450 is not just a powerhouse; it's also a social hub, comfortably accommodating up to 17 passengers. It's versatile enough for tranquil cruises and lively watersport activities. Why Choose the 2025 Supra SL450? The Supra SL450 is more than a boat; it's an experience. It appeals to those who desire the finest in maritime luxury, technology, and performance. Whether you're an avid watersports enthusiast or seeking a vessel for leisure and elegance, the SL450 is your definitive choice. Ready to Make Waves? Experience the thrill of the 2025 Supra SL450. Whether you're an avid wakeboarder or just love being on the water, the Supra SL450 is your ticket to adventure. Don't take our word for it - Call us today to schedule an on the water demo and experience the Supra SL's power and performance firsthand!",https://onlyinboards.com/getmedia/5411237b-5fe2-4071-9ce0-ce78d0b2de21/2025-supra-sl-113806-image0.webp,"https://onlyinboards.com/getmedia/5411237b-5fe2-4071-9ce0-ce78d0b2de21/2025-supra-sl-113806-image0.webp,https://onlyinboards.com/getmedia/858b6e93-c5f2-47a1-a3cb-8797e21fd0d7/2025-supra-sl-113806-image1.webp,https://onlyinboards.com/getmedia/4ababd9e-c74b-4c38-92f4-6ec98161dad7/2025-supra-sl-113806-image2.webp,https://onlyinboards.com/getmedia/95ade9a3-d736-45ff-8538-bb68bd916640/2025-supra-sl-113806-image3.webp,https://onlyinboards.com/getmedia/6314d167-4c89-45a8-a1f8-1f06ba6d5b87/2025-supra-sl-113806-image4.webp,https://onlyinboards.com/getmedia/e84e5aad-40e9-4f4d-8c36-c5b70c3fa440/2025-supra-sl-113806-image5.webp,https://onlyinboards.com/getmedia/69b8315e-71f9-45ce-90e4-8d53200f60df/2025-supra-sl-113806-image6.webp,https://onlyinboards.com/getmedia/e5d9e7d7-0507-4f9c-9f91-1175c43c3bf5/2025-supra-sl-113806-image7.webp,https://onlyinboards.com/getmedia/483ed0fe-4ae2-4ef8-88b2-b60a9708ab63/2025-supra-sl-113806-image8.webp,https://onlyinboards.com/getmedia/b3b27b44-4848-4319-a7d4-033bef0d47a9/2025-supra-sl-113806-image9.webp",704.957.0900,info@boatdudedeals.com,2026-04-06T01:32:29.406606+00:00,,,V-drive,,,,,,,
Y,oib-115962,2025 MOOMBA TYKON,Boat,available,113999,"$113,999",2025,Moomba,Tykon,24,0,INDMAR 6.2 RAPTOR 400,,,"CORNELIUS , North Carolina, 28031","2025 Moomba Tykon 2025 Moomba Tykon – Big Waves, Bigger Adventures! If you’re looking for a wakeboat that does it all, the 2025 Moomba Tykon is built to take your on-water experience to the next level. At 24 fet long with seating for up to 18 people, this boat has tons of space for family, friends, and all the gear you need for a perfect day on the water! financing and delivery available!! Lake Norman, Lake Wylie, Badin, High Rock, Keowee, Hartwell, James, Mtn Island, discount, Indmar, Tillery, Surf, Watersports, wakeboard, georgia, tennessee, south carolina Key Features of the Moomba Tykon Innovative Design: The Tykon boasts a versatile layout, accommodating both high performance watersports and leisurely cruises. Advanced Technology: Equipped with the latest advancements, including the E/Pex Tower and dual screens, ensuring a user-friendly experience! Powerful Performance: Powered by the Indmar Raptor 6.2L 450 engine, delivering 430 horsepower for exhilarating speeds and smooth cruising. Spacious Capacity:With a length of 24. Feet and a beam of 102 inches, the Tykon provides ample space for up to 18 passengers, making it ideal for larger groups or families. Premium Boat without the Premium Price? This boat is all about comfort, style, and fun, with plush seating, a killer sound system, and premium storage for all your gear! Whether you’re pushing your limits or just relaxing on the water, the Moomba Tykon is built to handle it all-without breaking the bank! Ready to Turn Heads on the Water? If you're ready to elevate your watersports game, don’t wait! Contact us today to schedule a viewing or get more information about this incredible boat. The 2025 Moomba Max is waiting for you! Call now and secure your dream boat before it's gone!",https://onlyinboards.com/getmedia/5b76bbc8-4373-491d-9701-2ece718a1ef9/2025-moomba-tykon-115962-image0.webp,"https://onlyinboards.com/getmedia/5b76bbc8-4373-491d-9701-2ece718a1ef9/2025-moomba-tykon-115962-image0.webp,https://onlyinboards.com/getmedia/3ad9e250-083c-409a-a0b5-0830bcbcdc92/2025-moomba-tykon-115962-image1.webp,https://onlyinboards.com/getmedia/582c3b5c-9517-410f-beca-361f6be178f9/2025-moomba-tykon-115962-image2.webp,https://onlyinboards.com/getmedia/cf1e0487-5ca9-411a-b885-c85580eee636/2025-moomba-tykon-115962-image3.webp,https://onlyinboards.com/getmedia/91ac5edb-b669-4d06-9a72-a39d67b8dcbb/2025-moomba-tykon-115962-image4.webp,https://onlyinboards.com/getmedia/8ee0bfa5-1a52-4511-84cd-f0a4e92229a5/2025-moomba-tykon-115962-image5.webp,https://onlyinboards.com/getmedia/0b6e477d-7685-49fb-92aa-69fb31d7ff6b/2025-moomba-tykon-115962-image6.webp,https://onlyinboards.com/getmedia/3cb635a4-9ee7-40dc-9266-1ef31d9de585/2025-moomba-tykon-115962-image7.webp,https://onlyinboards.com/getmedia/5389e44e-db4d-4908-bccd-f250d51101a2/2025-moomba-tykon-115962-image8.webp,https://onlyinboards.com/getmedia/ce2473a0-b46c-4ee2-aba0-843fa43d50b5/2025-moomba-tykon-115962-image9.webp",704.957.0900,info@boatdudedeals.com,2026-04-06T01:32:30.019474+00:00,,,V-drive,,,,,,,
